Email,Business,City,Category,Gap,HasWebsite,Status
info@legbishopltd.co.uk,L E G Bishop & Sons Ltd,Bristol,builders,No website; No reviews,yes,
info@stoneviewdriveways.co.uk,Stone View Home Improvements,Bristol,driveway and paving,No website; No reviews,yes,
countrylanelands@btinternet.com,Country Lane Landscapes Ltd,Birmingham,landscapers,No website; No reviews,yes,
jaywayfitness@gmail.com,JAYWAY FITNESS,Birmingham,personal trainers,No website; No reviews,no,
westway@highperformancevision.co.uk,BROCK,Bristol,opticians,No website; Only 1 reviews,yes,
info@roof-shield.co.uk,Roof Shield,Bristol,roofers,No website; Only 2 reviews,yes,
admin@fuseland.net,Fuseland Electrical Services Ltd,Bristol,electricians,No website; Only 2 reviews,yes,
attewell-smith@hotmail.com,Attewell-Smith Builders,Bristol,builders,No website; Only 3 reviews,yes,
aeroaccountancy@gmail.com,Aero Accountancy Services,Bristol,accountants,No website; Only 4 reviews,no,
liamcrawfordpt@gmail.com,Liam Crawford Fitness,Bristol,personal trainers,No website; Only 9 reviews,no,
sales@parkfieldbs.co.uk,Parkfield Building Services Ltd,Birmingham,builders,No website; Only 13 reviews,yes,
zafiro@hotmail.co.uk,Gaynor Steele Garden Design,Birmingham,landscapers,No website; Only 15 reviews,yes,
info@bathroomenvy.co.uk,Bathroom Envy,Birmingham,bathroom fitters,No website; Only 17 reviews,yes,
hiltonkitchens@outlook.com,Hilton Kitchens & Bedrooms Ltd,Birmingham,kitchen fitters,No website; Only 19 reviews,yes,
info@excelkitchensandbedrooms.co.uk,Excel Kitchens & Bedrooms Ltd,Birmingham,kitchen fitters,No website,yes,
enquiries@dkroofingsolutions.co.uk,DKRoofingSolutionsUK,Birmingham,roofers,No website,yes,
oaktreeestates@hotmail.co.uk,Oak Tree Estates,Birmingham,estate agents,No website,yes,
devon@mydhmcoaching.com,DHM Coaching,Birmingham,personal trainers,No website,yes,
info@awsolicitors.com,Allison Wells solicitors,Birmingham,solicitors,No website,no,
premium.health.and.fitness@gmail.com,Premium Fitness Birmingham,Birmingham,gyms,No website,no,
enquiry@hanifsolicitors.co.uk,Hanif & Company Solicitors,Birmingham,solicitors,No website,yes,
referrals@rowevetgroup.com,Rowe Veterinary Referrals,Bristol,vets,No website,yes,
blomehairdressing@hotmail.co.uk,Blow Me Hairdressing,Bristol,hair salons,No website,yes,
maginnis.opticians@gmail.com,Maginnis Opticians Marston Green,Birmingham,opticians,No website,no,
hyltoncafe@hotmail.com,Hylton Cafe,Birmingham,cafes,No website,no,
cafephilia.com@gmail.com,Cafephilia,Birmingham,cafes,No website,no,
brm@langfordvets.co.uk,Langford Vets Small Animal Referral Hospital,Bristol,vets,No website,yes,
info@smbuild.co.uk,SM Build,Bristol,builders,No reviews,yes,
bristolroofs@outlook.com,Bristol roofs,Bristol,roofers,No reviews,yes,
support@hvacexperts.com,BRISTOL & DISTRICT ROOFING LTD,Bristol,roofers,No reviews,yes,
info@plumbersinbristol.co.uk,Flow Sure Plumbers,Bristol,plumbers,No reviews,yes,
tradepricebristol@gmail.com,South West Driveways & Roofing,Bristol,driveway and paving,No reviews,yes,
gloucestershire@drivewayandpatiospecialists.co.uk,Driveway and Patio Specialists,Bristol,driveway and paving,No reviews,yes,
hello@apexsupplements.co.uk,ProBody Fitness,Bristol,personal trainers,No reviews,yes,
contact@thebristolmortgagebroker.com,The Bristol Mortgage Broker,Bristol,mortgage brokers,No reviews,yes,
services@maid2clean.co.uk,Maid2clean Bristol Ltd,Bristol,cleaning companies,No reviews,yes,
pureperfectionbathroomskitchen@gmail.com,Pure Perfection Bathrooms & Kitchens,Birmingham,kitchen fitters,No reviews,yes,
bryan@townbuildersconstruction.com,Town Builders Construction,Birmingham,builders,No reviews,yes,
info@testeam.co.uk,West Bromwich Electricians -Technical Electrical Solutions,Birmingham,electricians,No reviews,yes,
helloboilerserve@gmail.com,HELLO Local Plumber Birmingham - The plumbing and boiler experts,Birmingham,plumbers,No reviews,yes,
damian@needingadvice.co.uk,Mortgage brokers Birmingham,Birmingham,mortgage brokers,No reviews,yes,
hello@24cleaningsltd.com,24CLEANING - Professional Office and Deep Cleaning Services,Birmingham,cleaning companies,No reviews,yes,
info@castleconstructionbristol.co.uk,Castle Construction (Bristol) Ltd,Bristol,builders,Only 1 reviews,yes,
info@bristolroofcompany.co.uk,Bristol Roof Company,Bristol,roofers,Only 1 reviews,yes,
info@cabotroofing.co.uk,Cabot Roofing ltd,Bristol,roofers,Only 1 reviews,yes,
enquiries@rockroofing.co.uk,Rock Roofing Ltd,Bristol,roofers,Only 1 reviews,yes,
mike@mjclandscapes.com,MJC Landscapes,Bristol,landscapers,Only 1 reviews,yes,
keran@liveelectrics.com,Live Electrical Services,Bristol,electricians,Only 1 reviews,yes,
resindrivewaysbristol@gmail.com,Resin Driveways Bristol,Bristol,driveway and paving,Only 1 reviews,yes,
hello@tradeaccounting.co.uk,Trade Accounting,Bristol,accountants,Only 1 reviews,yes,
covid19support@jarmanaccountancy.com,Jarman Accountancy,Bristol,accountants,Only 1 reviews,yes,
darren@westexe-mortgages.co.uk,Westexe Mortgage Solutions Ltd,Bristol,mortgage brokers,Only 1 reviews,yes,
info@mortgage-maze.co.uk,The Mortgage Maze Ltd,Bristol,mortgage brokers,Only 1 reviews,yes,
info@thecfg.co.uk,The Bristol Commercial Cleaning Company,Bristol,cleaning companies,Only 1 reviews,yes,
info@greggroofing.co.uk,Gregg Roofing Services Ltd,Birmingham,roofers,Only 1 reviews,yes,
info@rooferkingstanding.co.uk,Kingstanding Roofing,Birmingham,roofers,Only 1 reviews,yes,
alex@lillysgardening.com,Lilly’s Landscapes & Gardens,Birmingham,landscapers,Only 1 reviews,yes,
evanslandscapes@hotmail.co.uk,Evans Landscapes,Birmingham,landscapers,Only 1 reviews,yes,
hello@utopialandscapes.co.uk,Utopia Landscaping,Birmingham,landscapers,Only 1 reviews,yes,
info@yeselectrical.co.uk,YES Electrical,Birmingham,electricians,Only 1 reviews,yes,
info@driveways-birmingham.com,Paving and Driveways Birmingham,Birmingham,driveway and paving,Only 1 reviews,yes,
mapdetailscom@gmail.com,driveway paving birmingham,Birmingham,driveway and paving,Only 1 reviews,yes,
elliott.edward@gmail.com,FARE Outdoor Construction,Birmingham,driveway and paving,Only 1 reviews,yes,
uniquedrivesandpatiosltd@hotmail.com,Unique Drives & Patios,Birmingham,driveway and paving,Only 1 reviews,yes,
info@contabilbirmingham.co.uk,Contabil Roman Birmingham,Birmingham,accountants,Only 1 reviews,yes,
birmingham@uhy-uk.com,UHY Hacker Young (Birmingham),Birmingham,accountants,Only 1 reviews,yes,
callie@myahm.net,"Elite Mortgage Partners - Birmingham, AL",Birmingham,mortgage brokers,Only 1 reviews,yes,
mapdetailscom@gmail.com,Sweet cattery,Birmingham,vets,Only 1 reviews,yes,
info@cleaningnationwide.co.uk,Cleaning Nationwide Ltd,Birmingham,cleaning companies,Only 1 reviews,yes,
pgconstructionwsm@gmail.com,PG Construction,Bristol,bathroom fitters,Only 2 reviews,yes,
info@akwbuildingservices.co.uk,A K W Building Services Ltd,Bristol,builders,Only 2 reviews,yes,
enquiries@sandpbuilders.co.uk,S&P Builders Ltd,Bristol,builders,Only 2 reviews,yes,
halgroupmark@gmail.com,Hal Build,Bristol,builders,Only 2 reviews,yes,
darrel24@msn.com,Frampton Roofing,Bristol,roofers,Only 2 reviews,yes,
info@incastone.co.uk,Incastone Landscaping,Bristol,landscapers,Only 2 reviews,yes,
info@emergencyplumbingnonstop.co.uk,Emergency Plumbing Nonstop Bristol,Bristol,plumbers,Only 2 reviews,yes,
info@bristoldriveways.co.uk,Bristol Driveways,Bristol,driveway and paving,Only 2 reviews,yes,
info@totalpatiodrivewaysolutions.co.uk,Total Patio & Driveway Solutions,Bristol,driveway and paving,Only 2 reviews,yes,
info@aandtsurfacing.co.uk,A & T (Bristol) Ltd,Bristol,driveway and paving,Only 2 reviews,yes,
lema.yousofi@hotmail.com,Aesthetics and Beyond,Bristol,aesthetic clinics,Only 2 reviews,yes,
swishdrivingschool@gmail.com,Swish Driving School,Bristol,driving schools,Only 2 reviews,yes,
info@mdcbuilders.co.uk,MDC Builders - Home Extension and Renovation,Birmingham,builders,Only 2 reviews,yes,
epsbuilders@hotmail.com,EPS Builders Limited,Birmingham,builders,Only 2 reviews,yes,
enquiries@waterside-landscapes.co.uk,Waterside Landscapes,Birmingham,landscapers,Only 2 reviews,yes,
timsplumbing@outlook.com,Tim's Plumbing LLC,Birmingham,plumbers,Only 2 reviews,yes,
rfarmer@dains.com,Dains Accountants Limited - Birmingham,Birmingham,accountants,Only 2 reviews,yes,
enquiries@midlandaccountants.co.uk,Midland Accountants,Birmingham,accountants,Only 2 reviews,yes,
info@avenuefinancialservices.co.uk,Avenue Financial Services,Birmingham,mortgage brokers,Only 2 reviews,yes,
stephanie.gant@silvertonmortgage.com,Silverton Mortgage - Birmingham,Birmingham,mortgage brokers,Only 2 reviews,yes,
info@klaracleaningservices.co.uk,Klara Cleaning Services Limited,Birmingham,cleaning companies,Only 2 reviews,yes,
info@wrightwayofficecleaning.co.uk,wrightway office cleaning ltd,Birmingham,cleaning companies,Only 2 reviews,yes,
info@sanitell.com,Sanitell Cleaning Services Limited,Birmingham,cleaning companies,Only 2 reviews,yes,
hbk.buildingcontractors@yahoo.co.uk,H B K Building Contractors,Bristol,builders,Only 3 reviews,yes,
matthew@stringerconstructltd.co.uk,Stringer Construct Ltd,Bristol,builders,Only 3 reviews,yes,
assuredroofingsw@gmail.com,Assured Roofing South West Ltd,Bristol,roofers,Only 3 reviews,yes,
enquiries@your-solution.co.uk,Your Solution Garden & Landscapes,Bristol,landscapers,Only 3 reviews,yes,
info@cornishgardenservices.co.uk,Cornish Garden Services,Bristol,landscapers,Only 3 reviews,yes,
ben@brpgardenservices.co.uk,BRP Garden services,Bristol,landscapers,Only 3 reviews,yes,
info@ejplumbing.co.uk,EJ Plumbing,Bristol,plumbers,Only 3 reviews,yes,
westcoastlandscapinguk@gmail.com,West coast Landscaping & Gardening,Bristol,driveway and paving,Only 3 reviews,yes,
info@csheppard.co.uk,C Sheppard Limited,Bristol,driveway and paving,Only 3 reviews,yes,
accountants@charltonbaker.co.uk,Charlton Baker Bristol Clifton,Bristol,accountants,Only 3 reviews,yes,
hello@turnerberry.co.uk,TurnerBerry Accountants,Bristol,accountants,Only 3 reviews,yes,
info@esy-tax.co.uk,EasyAccounts and Tax LTD- Bristol Office,Bristol,accountants,Only 3 reviews,yes,
