City,Category,Business name,Owner / contact,Phone,Email,Website,Instagram / Facebook,Google rating,Review count,Biggest gap,Source,Best channel,Status,Last contact,Next action,Address,Maps link
Bristol,kitchen fitters,Hennessy Installations Bristol's Premier Kitchen & Bathroom Fitters,,01275 833403,,,,,,No website; No reviews,Google Places,,New,,,"78 Ridgeway Ln, Bristol BS14 9PJ, UK",https://maps.google.com/?cid=17821099197909794734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,builders,L E G Bishop & Sons Ltd,,0117 964 3339,,,,,,No website; No reviews,Google Places,,New,,,"1 Grange Rd, Bishopsworth, Bristol BS13 8LE, UK",https://maps.google.com/?cid=6060653456469574677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driveway and paving,Tom's Driveways & Patios,,07575 571958,,,,,,No website; No reviews,Google Places,,New,,,"60 Bradley Rd, Patchway, Bristol BS34 5HP, UK",https://maps.google.com/?cid=5365595377956008179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driveway and paving,JK Driveway,,0117 463 3336,,,,,,No website; No reviews,Google Places,,New,,,"44 Symington Rd, Bristol BS16 2LL, UK",https://maps.google.com/?cid=8665800954499805990&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driveway and paving,Driveways Bristol,,0117 911 0413,,,,,,No website; No reviews,Google Places,,New,,,"114 Watleys End Rd, Winterbourne, Bristol BS36 1PP, UK",https://maps.google.com/?cid=5360864141543286446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driveway and paving,Stone View Home Improvements,,07821 769420,,,,,,No website; No reviews,Google Places,,New,,,"21 Syms Ave, Coalpit Heath, Frampton Cotterell, Bristol BS36 2FQ, UK",https://maps.google.com/?cid=3674997250157282668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,aesthetic clinics,Avon Skin Clinic,,07769 054731,,,,,,No website; No reviews,Google Places,,New,,,"Castlemead, Bristol BS1 3AG, UK",https://maps.google.com/?cid=5729711121967042895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Pete's School of Motoring,,01275 837975,,,,,,No website; No reviews,Google Places,,New,,,"9 Allerton Gardens, Bristol BS14 9NH, UK",https://maps.google.com/?cid=9875988543278887232&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bristol,driving schools,Driving Lessons East Bristol,,07870 380262,,,,,,No website; No reviews,Google Places,,New,,,"16 Highview Rd, Bristol BS15 4QN, UK",https://maps.google.com/?cid=10640268895883855791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Birmingham,kitchen fitters,AM kitchen fitters,,07402 679338,,,,,,No website; No reviews,Google Places,,New,,,"19 Chinn Brook Rd, Birmingham B13 0LU, UK",https://maps.google.com/?cid=7387740205142967504&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
